track,skill,difficulty,domain_code,topic_name,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,source_reference
GENERAL_ENGLISH,VOCAB,BASIC,,,What does the word 'rapid' most nearly mean?,Fast,Heavy,Quiet,Late,A,Rapid means fast or quick.,AeroESP General English v1
GENERAL_ENGLISH,VOCAB,BASIC,,,What is the opposite of 'increase'?,Develop,Reduce,Improve,Continue,B,Reduce is the opposite of increase.,AeroESP General English v1
GENERAL_ENGLISH,VOCAB,BASIC,,,Choose the closest meaning of 'accurate'.,Correct,Slow,Large,Difficult,A,Accurate means correct or precise.,AeroESP General English v1
GENERAL_ENGLISH,VOCAB,BASIC,,,What does 'require' mean?,To need,To remove,To forget,To compare,A,Require means to need something.,AeroESP General English v1
GENERAL_ENGLISH,VOCAB,BASIC,,,Choose the closest meaning of 'maintain'.,Destroy,Keep,Measure,Begin,B,Maintain means to keep something in a condition.,AeroESP General English v1
GENERAL_ENGLISH,VOCAB,INTERMEDIATE,,,The word 'significant' is closest in meaning to:,Important,Temporary,Simple,Similar,A,Significant commonly means important or notable.,AeroESP General English v1
GENERAL_ENGLISH,VOCAB,INTERMEDIATE,,,What does 'reliable' most nearly mean?,Able to be trusted,Very expensive,Easy to replace,Recently developed,A,Reliable describes something that can be trusted.,AeroESP General English v1
GENERAL_ENGLISH,VOCAB,INTERMEDIATE,,,Choose the closest meaning of 'approximately'.,Exactly,Nearly,Rarely,Immediately,B,Approximately means nearly or about.,AeroESP General English v1
GENERAL_ENGLISH,VOCAB,INTERMEDIATE,,,The verb 'determine' most nearly means:,Find out,Give away,Look after,Turn off,A,Determine means establish or find out.,AeroESP General English v1
GENERAL_ENGLISH,VOCAB,INTERMEDIATE,,,What does 'available' mean?,Ready for use,Impossible to use,Very unusual,Extremely small,A,Available means ready or obtainable for use.,AeroESP General English v1
GENERAL_ENGLISH,GRAMMAR,BASIC,,,Choose the correct sentence.,She go to university every day.,She goes to university every day.,She going to university every day.,She gone to university every day.,B,Third-person singular present simple takes -s.,AeroESP General English v1
GENERAL_ENGLISH,GRAMMAR,BASIC,,,They _____ the report yesterday.,finish,finished,finishing,finishes,B,Yesterday requires the past simple here.,AeroESP General English v1
GENERAL_ENGLISH,GRAMMAR,BASIC,,,I _____ here since 2022.,work,worked,have worked,am work,C,Since + starting point commonly uses present perfect.,AeroESP General English v1
GENERAL_ENGLISH,GRAMMAR,BASIC,,,There _____ two books on the desk.,is,are,was,be,B,The plural subject requires 'are'.,AeroESP General English v1
GENERAL_ENGLISH,GRAMMAR,BASIC,,,He can _____ English well.,speaks,speaking,speak,spoke,C,Modal verbs are followed by the base form.,AeroESP General English v1
GENERAL_ENGLISH,GRAMMAR,INTERMEDIATE,,,"If it rains tomorrow, we _____ at home.",stay,stayed,will stay,would stayed,C,"First conditional: if + present, will + base verb.",AeroESP General English v1
GENERAL_ENGLISH,GRAMMAR,INTERMEDIATE,,,The experiment _____ before the meeting began.,completed,had been completed,has complete,was completing,B,Past perfect passive indicates earlier completed action.,AeroESP General English v1
GENERAL_ENGLISH,GRAMMAR,INTERMEDIATE,,,This is the student _____ project won the award.,who,whose,which,whom,B,'Whose' expresses possession.,AeroESP General English v1
GENERAL_ENGLISH,GRAMMAR,INTERMEDIATE,,,"By next year, they _____ the course.",complete,completed,will have completed,have completing,C,Future perfect expresses completion before a future point.,AeroESP General English v1
GENERAL_ENGLISH,GRAMMAR,INTERMEDIATE,,,The results were different _____ what we expected.,from,with,at,by,A,The standard expression is 'different from'.,AeroESP General English v1
GENERAL_ENGLISH,READING,BASIC,,,Sara usually walks to work because her office is close to her home. Why does Sara usually walk to work?,She dislikes driving,Her office is nearby,She has no job,The bus is expensive,B,The text directly states that her office is close to home.,AeroESP General English v1
GENERAL_ENGLISH,READING,BASIC,,,Ali studied for three hours before taking the test. What did Ali do before the test?,He slept,He studied,He travelled,He worked,B,The passage explicitly says that Ali studied.,AeroESP General English v1
GENERAL_ENGLISH,READING,BASIC,,,The library opens at 8 a.m. and closes at 6 p.m. When does the library close?,6 a.m.,8 a.m.,6 p.m.,8 p.m.,C,The closing time stated is 6 p.m.,AeroESP General English v1
GENERAL_ENGLISH,READING,BASIC,,,Mina bought a new laptop because her old computer was very slow. Why did Mina buy a new laptop?,Her old computer was slow,She lost her phone,She needed a printer,Her office closed,A,The reason given is that the old computer was slow.,AeroESP General English v1
GENERAL_ENGLISH,READING,BASIC,,,The train was delayed for thirty minutes because of heavy rain. What caused the delay?,A technical exam,Heavy rain,A holiday,Low demand,B,The passage identifies heavy rain as the cause.,AeroESP General English v1
